"","method","variable","value","diff"
"1","true","Rep"," 0.4520"," 0.0000"
"2","hd.ord","Rep"," 0.4520"," 0.0000"
"3","hd.norm.orig","Rep"," 0.4520"," 0.0000"
"4","amelia","Rep"," 0.4520"," 0.0000"
"5","mice","Rep"," 0.4521"," 0.0001"
"6","na.omit","Rep"," 0.4501","-0.0019"
"7","true","Ind"," 0.1580"," 0.0000"
"8","hd.ord","Ind"," 0.1580"," 0.0000"
"9","hd.norm.orig","Ind"," 0.1580"," 0.0000"
"10","amelia","Ind"," 0.1580"," 0.0000"
"11","mice","Ind"," 0.1582"," 0.0002"
"12","na.omit","Ind"," 0.1577","-0.0003"
"13","true","Black"," 0.0540"," 0.0000"
"14","hd.ord","Black"," 0.0540"," 0.0000"
"15","hd.norm.orig","Black"," 0.0540"," 0.0000"
"16","amelia","Black"," 0.0540"," 0.0000"
"17","mice","Black"," 0.0541"," 0.0001"
"18","na.omit","Black"," 0.0507","-0.0033"
"19","true","Hisp"," 0.0860"," 0.0000"
"20","hd.ord","Hisp"," 0.0860"," 0.0000"
"21","hd.norm.orig","Hisp"," 0.0860"," 0.0000"
"22","amelia","Hisp"," 0.0860"," 0.0000"
"23","mice","Hisp"," 0.0860"," 0.0000"
"24","na.omit","Hisp"," 0.0847","-0.0013"
"25","true","Empl"," 0.5180"," 0.0000"
"26","hd.ord","Empl"," 0.5181"," 0.0001"
"27","hd.norm.orig","Empl"," 0.5180"," 0.0000"
"28","amelia","Empl"," 0.5181"," 0.0001"
"29","mice","Empl"," 0.5180"," 0.0000"
"30","na.omit","Empl"," 0.4950","-0.0230"
"31","true","Stud"," 0.0270"," 0.0000"
"32","hd.ord","Stud"," 0.0270"," 0.0000"
"33","hd.norm.orig","Stud"," 0.0270"," 0.0000"
"34","amelia","Stud"," 0.0270"," 0.0000"
"35","mice","Stud"," 0.0270"," 0.0000"
"36","na.omit","Stud"," 0.0280"," 0.0010"
"37","true","Male"," 0.4020"," 0.0000"
"38","hd.ord","Male"," 0.4019","-0.0001"
"39","hd.norm.orig","Male"," 0.4020"," 0.0000"
"40","amelia","Male"," 0.4020"," 0.0000"
"41","mice","Male"," 0.4019","-0.0001"
"42","na.omit","Male"," 0.3956","-0.0064"
"43","true","VotePres2016"," 0.9860"," 0.0000"
"44","hd.ord","VotePres2016"," 0.9860"," 0.0000"
"45","hd.norm.orig","VotePres2016"," 0.9860"," 0.0000"
"46","amelia","VotePres2016"," 0.9860"," 0.0000"
"47","mice","VotePres2016"," 0.9860"," 0.0000"
"48","na.omit","VotePres2016"," 0.9840","-0.0020"
"49","true","CongressJob"," 0.1890"," 0.0000"
"50","hd.ord","CongressJob"," 0.1890"," 0.0000"
"51","hd.norm.orig","CongressJob"," 0.1890"," 0.0000"
"52","amelia","CongressJob"," 0.1890"," 0.0000"
"53","mice","CongressJob"," 0.1890"," 0.0000"
"54","na.omit","CongressJob"," 0.1888","-0.0002"
"55","true","CountryTrack"," 0.3030"," 0.0000"
"56","hd.ord","CountryTrack"," 0.3030"," 0.0000"
"57","hd.norm.orig","CountryTrack"," 0.3030"," 0.0000"
"58","amelia","CountryTrack"," 0.3030"," 0.0000"
"59","mice","CountryTrack"," 0.3029","-0.0001"
"60","na.omit","CountryTrack"," 0.2910","-0.0120"
"61","true","HealthIns"," 0.9450"," 0.0000"
"62","hd.ord","HealthIns"," 0.9450"," 0.0000"
"63","hd.norm.orig","HealthIns"," 0.9450"," 0.0000"
"64","amelia","HealthIns"," 0.9451"," 0.0001"
"65","mice","HealthIns"," 0.9450"," 0.0000"
"66","na.omit","HealthIns"," 0.9426","-0.0024"
"67","true","GlobWarm"," 0.7540"," 0.0000"
"68","hd.ord","GlobWarm"," 0.7540"," 0.0000"
"69","hd.norm.orig","GlobWarm"," 0.7540"," 0.0000"
"70","amelia","GlobWarm"," 0.7538","-0.0002"
"71","mice","GlobWarm"," 0.7540"," 0.0000"
"72","na.omit","GlobWarm"," 0.7396","-0.0144"
"73","true","Religious"," 0.6610"," 0.0000"
"74","hd.ord","Religious"," 0.6610"," 0.0000"
"75","hd.norm.orig","Religious"," 0.6610"," 0.0000"
"76","amelia","Religious"," 0.6610"," 0.0000"
"77","mice","Religious"," 0.6610"," 0.0000"
"78","na.omit","Religious"," 0.6542","-0.0068"
"79","true","InternetHome"," 0.9450"," 0.0000"
"80","hd.ord","InternetHome"," 0.9450"," 0.0000"
"81","hd.norm.orig","InternetHome"," 0.9450"," 0.0000"
"82","amelia","InternetHome"," 0.9450"," 0.0000"
"83","mice","InternetHome"," 0.9450"," 0.0000"
"84","na.omit","InternetHome"," 0.9415","-0.0035"
"85","true","RentHome"," 0.2130"," 0.0000"
"86","hd.ord","RentHome"," 0.2130"," 0.0000"
"87","hd.norm.orig","RentHome"," 0.2130"," 0.0000"
"88","amelia","RentHome"," 0.2130"," 0.0000"
"89","mice","RentHome"," 0.2131"," 0.0001"
"90","na.omit","RentHome"," 0.2102","-0.0028"
"91","true","Rally"," 0.0630"," 0.0000"
"92","hd.ord","Rally"," 0.0630"," 0.0000"
"93","hd.norm.orig","Rally"," 0.0630"," 0.0000"
"94","amelia","Rally"," 0.0630"," 0.0000"
"95","mice","Rally"," 0.0631"," 0.0001"
"96","na.omit","Rally"," 0.0561","-0.0069"
"97","true","Donate"," 0.1870"," 0.0000"
"98","hd.ord","Donate"," 0.1870"," 0.0000"
"99","hd.norm.orig","Donate"," 0.1870"," 0.0000"
"100","amelia","Donate"," 0.1869","-0.0001"
"101","mice","Donate"," 0.1871"," 0.0001"
"102","na.omit","Donate"," 0.1766","-0.0104"
"103","true","Liberal"," 0.2880"," 0.0000"
"104","hd.ord","Liberal"," 0.2879","-0.0001"
"105","hd.norm.orig","Liberal"," 0.2879","-0.0001"
"106","amelia","Liberal"," 0.2880"," 0.0000"
"107","mice","Liberal"," 0.2879","-0.0001"
"108","na.omit","Liberal"," 0.2818","-0.0062"
"109","true","Moderate"," 0.2250"," 0.0000"
"110","hd.ord","Moderate"," 0.2250"," 0.0000"
"111","hd.norm.orig","Moderate"," 0.2250"," 0.0000"
"112","amelia","Moderate"," 0.2251"," 0.0001"
"113","mice","Moderate"," 0.2251"," 0.0001"
"114","na.omit","Moderate"," 0.2217","-0.0033"
"115","true","Separated"," 0.2880"," 0.0000"
"116","hd.ord","Separated"," 0.2880"," 0.0000"
"117","hd.norm.orig","Separated"," 0.2880"," 0.0000"
"118","amelia","Separated"," 0.2880"," 0.0000"
"119","mice","Separated"," 0.2881"," 0.0001"
"120","na.omit","Separated"," 0.2948"," 0.0068"
"121","true","inc","18.0640"," 0.0000"
"122","hd.ord","inc","18.0640"," 0.0000"
"123","hd.norm.orig","inc","18.0640"," 0.0000"
"124","amelia","inc","18.0643"," 0.0003"
