"birthyear","race","gender","att","empl","inc","pid","pid.follow","ideol","ideol.follow","educ","mor.suffer","mor.care","mor.cruel","mor.comp","mor.anim","mor.kill","si.white","si.care","si.kids","si.kill","si.good","si.help","hc.group","hc.likert","hc.slider","hc.check","ev.group","ev.likert","ev.slider","ev.check","online.length","study.choice","RID","online.why","com"
1,3,2,2,2,2,3,2,2,2,3,6,6,6,4,6,4,4,2,4,4,3,4,"m.opp",2,4.3,6,"si.opp",3,3.7,4,5,2,"5fd92b15-5238-f58c-66de-7d0d6ba8f8b8","for credis",NA
1,3,2,2,4,4,2,1,2,1,3,5,5,2,6,2,4,6,3,1,3,5,1,"control",2,4.9,2,"control",2,4,4,3,1,"5fd92b1f-605a-1293-fafd-db009ea44879","jgdstrdfuiythdgf","lkjhgfhbjnk"
58,1,2,2,4,4,2,1,2,1,4,4,4,4,3,3,5,1,1,1,1,1,1,"control",1,1,3,"control",3,2.8,5,5,1,"5fd92c26-2f61-23c8-c66e-813fb7559581","to give my opinion",NA
1,3,1,2,2,1,4,3,3,3,1,5,5,5,5,5,5,5,5,5,5,5,5,"m.supp",3,5.8,7,"m.supp",3,5.4,1,1,4,"5fd92c99-a33c-ab58-0c53-be9556177961","1 month ","G good"
51,1,1,2,4,2,3,3,1,2,4,6,5,5,6,5,3,2,1,2,5,1,4,"si.supp",5,8.1,3,"control",5,6.4,5,5,1,"5fd92c81-9261-02a5-1627-6b97ca7fedb7","to make a little extra money","none"
1,1,2,2,3,1,1,2,2,2,1,3,2,2,4,3,3,6,3,2,6,2,2,"si.supp",2,4.8,2,"si.opp",2,6.3,6,4,3,"5fd92d2b-5c10-3e11-32b6-a6eb951474c2","To make extra money ","No I don’t "
1,1,2,2,6,3,1,1,3,3,1,1,4,2,1,4,2,2,5,4,2,6,3,"si.supp",1,9.7,6,"m.opp",4,10,7,4,6,"5fd92ca3-c106-e7cc-59e5-2a7e5aacd66a","Was low on money ",NA
44,1,2,2,1,1,1,1,1,1,3,5,5,5,6,6,3,2,4,1,NA,NA,NA,"si.opp",5,9.3,3,"si.supp",5,10,5,5,2,"5fd92d1e-3af4-89bc-eb22-8f4b3dc18783","Extra money ",NA
13,1,2,2,2,4,1,1,1,2,4,5,5,6,6,6,4,3,1,2,NA,NA,NA,"m.supp",3,5.6,3,"m.supp",4,6.5,5,3,1,"5fd92d44-260c-8559-402d-bf7bad8671c4","Bored due to quarantine ",NA
18,2,1,2,2,1,3,2,3,1,5,5,4,4,4,1,6,1,6,5,5,1,5,"m.supp",4,8.2,3,"si.supp",4,8.4,5,5,1,"5fd92d21-4db1-9547-ffc9-3bf3b8a96231","To make money","Thank you"
11,1,1,2,2,3,2,1,3,2,3,4,3,2,2,5,2,1,5,4,4,1,4,"m.opp",5,10,7,"m.supp",4,9.8,1,5,3,"5fd92c7b-c8ab-1077-3642-b17cd3855326","2017","Wholesome Survey fellas"
53,1,1,2,4,2,3,3,2,2,2,5,4,6,5,6,5,1,4,1,5,1,5,"si.opp",4,7.3,3,"m.opp",3,5.1,5,5,3,"5fd92cd7-927c-6a04-5934-146e56e57e7f","like being able to give my opinion",NA
3,2,1,2,1,1,1,1,2,1,3,1,2,4,5,6,5,5,5,2,5,4,5,"si.supp",1,2.9,7,"m.opp",1,5.9,1,2,2,"5fd92d75-8e33-c0b2-b13f-f0692be243c3","For fun","Ok"
51,1,1,2,4,2,2,1,2,1,1,5,4,5,5,6,6,3,4,5,5,4,5,"m.supp",3,5.7,3,"control",5,9.2,5,5,1,"5fd92ce4-da4e-edad-7628-35c69ae72f18","2008","No comments. "
19,1,1,2,1,5,1,1,1,2,4,5,6,6,6,6,5,4,6,3,4,4,3,"m.opp",2,4,3,"si.supp",3,5,6,5,6,"5fd92cab-1ba6-d6d7-0109-bb0d7f1b2ae2","Because my country matters to me",NA
1,2,2,2,1,2,1,1,2,1,1,3,3,4,3,3,3,3,4,4,1,1,3,"si.supp",3,6.5,5,"m.supp",3,6.9,3,5,1,"5fd92c62-f9c7-078c-8f5c-dddf23c6931a","ear extra money",NA
18,1,1,2,2,7,1,1,2,1,5,6,5,5,5,6,6,6,6,5,4,5,6,"m.supp",4,6.4,3,"m.opp",4,7.5,5,4,3,"5fd92cc5-6f3a-4691-5304-e670a9f62aa3","I need to tell new brands how well things are done",NA
1,1,1,2,4,2,3,3,3,3,4,5,3,4,5,5,3,4,6,1,6,1,3,"m.supp",3,5.1,3,"control",3,5,5,5,2,"5fd92cb9-b76b-cfa4-c447-e2ddafd048b0","something to due after retiring","none right now"
45,2,2,2,4,2,1,1,1,1,3,5,5,5,5,6,6,1,4,1,6,1,1,"si.supp",1,1.1,3,"m.opp",5,10,5,5,1,"5fd92d37-5bdb-5d49-8932-2a2c44638f25","to make extra money",NA
1,1,2,2,3,3,3,3,3,3,1,3,3,4,5,2,6,3,4,4,6,4,2,"m.opp",3,6,3,"si.opp",3,5.4,5,5,1,"5fd92c67-5b54-aa9f-4a17-729127175bfd","$","Good survey"
9,3,1,2,2,3,1,1,1,1,4,6,5,6,5,6,3,1,1,1,4,3,2,"si.supp",5,9.1,3,"si.opp",5,8.4,5,5,4,"5fd92f51-5022-617d-1964-84bb9b8326b4","They're interesting",NA
12,3,2,2,2,7,2,1,2,1,4,5,5,5,4,4,4,4,4,4,4,4,4,"control",4,7.3,4,"si.supp",3,6.3,5,3,1,"5fd92dba-e5bb-983a-c6bd-b49693216515","To make extra cash","No comments"
7,1,2,2,1,1,3,2,3,3,4,6,5,5,6,6,4,2,5,3,NA,NA,NA,"si.opp",4,4.6,3,"m.supp",5,8.8,5,5,2,"5fd92d0f-8cce-09fb-4b43-42ecf95f958e","2015",NA
17,3,1,2,2,6,2,2,2,2,2,5,6,6,6,6,4,4,6,4,2,4,4,"m.supp",1,1,3,"si.opp",4,9,5,1,1,"5fd9300e-4834-b40c-00a5-9644e68dc0d5","3 days ago",NA
47,1,1,2,4,2,2,1,2,1,1,3,4,4,5,6,3,2,6,5,1,2,5,"m.opp",5,8.9,3,"si.opp",5,8.3,7,5,6,"5fd92da1-8385-f633-2bf8-21b8c48a3cfd","For fun and enjoyment ","None "
21,1,1,2,1,6,1,1,1,1,5,4,3,2,6,5,4,4,5,5,5,4,6,"m.supp",4,7.5,3,"control",1,7.6,3,4,3,"5fd93095-0ebe-52cb-fd89-4d7c1b467ecb","i make some extra bucks","no comment"
56,1,2,2,4,2,1,1,3,2,1,5,5,5,6,6,6,3,2,3,5,4,5,"control",5,7,3,"si.supp",5,9.8,5,5,2,"5fd92cfa-4666-996a-1d80-368d2c2be7f0","to earn points","All okay"
43,1,2,2,5,3,1,2,1,2,2,4,5,5,6,6,6,1,3,3,4,3,2,"m.supp",5,9.4,3,"m.supp",5,10,5,5,5,"5fd92d9e-ae63-cb90-4190-bc9f22851d80","to influence decision making, new and old products, and to earn a little extra money",NA
